2025-03-16 16:17:05.917372, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:06.096323, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:06.171594, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:06.249995, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:06.334193, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:06.409997, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:06.479110, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:06.559745, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:06.636469, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:06.709786, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:06.789237, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:06.860247, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:06.924266, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.008981, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.083221, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.157963, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.237163, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.316494, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.392596, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.472762, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.551078, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.628255, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.708610, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.781282, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.855649, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.917160, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:07.995352, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.067767, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.127586, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.190162, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.250464, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.314504, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.376679, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.437655, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.501143, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.557699, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.624099, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.688857, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.745703, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.811833, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.870298, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.931208, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:08.995141, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.055119, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.116591, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.177750, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.237348, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.301690, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.359184, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.423160, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.481694, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.546139, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.607234, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.672083, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.732322, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.796446, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.860078, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.916711, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:09.983362, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:10.042290, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:10.109819, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:10.168189, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:10.229034, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:10.292622, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:10.354136, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:10.411011, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:10.475363, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:10.541795, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:10.600185, X: 0.48, Y: 0.40, Z: 0.04
2025-03-16 16:17:10.664238, X: 0.49, Y: 0.40, Z: 0.05
2025-03-16 16:17:10.724429, X: 0.50, Y: 0.40, Z: 0.05
2025-03-16 16:17:10.796427, X: 0.51, Y: 0.40, Z: 0.05
2025-03-16 16:17:10.848990, X: 0.51, Y: 0.40, Z: 0.06
2025-03-16 16:17:10.914101, X: 0.52, Y: 0.40, Z: 0.06
2025-03-16 16:17:10.976134, X: 0.53, Y: 0.40, Z: 0.06
2025-03-16 16:17:11.036394, X: 0.53, Y: 0.40, Z: 0.07
2025-03-16 16:17:11.097870, X: 0.54, Y: 0.40, Z: 0.07
2025-03-16 16:17:11.161482, X: 0.55, Y: 0.40, Z: 0.07
2025-03-16 16:17:11.221911, X: 0.55, Y: 0.40, Z: 0.08
2025-03-16 16:17:11.285320, X: 0.56, Y: 0.40, Z: 0.08
2025-03-16 16:17:11.344760, X: 0.57, Y: 0.40, Z: 0.08
2025-03-16 16:17:11.408984, X: 0.57, Y: 0.40, Z: 0.08
2025-03-16 16:17:11.485888, X: 0.57, Y: 0.40, Z: 0.09
2025-03-16 16:17:11.557877, X: 0.57, Y: 0.40, Z: 0.09
2025-03-16 16:17:11.625977, X: 0.57, Y: 0.40, Z: 0.09
2025-03-16 16:17:11.683482, X: 0.56, Y: 0.40, Z: 0.09
2025-03-16 16:17:11.746096, X: 0.56, Y: 0.40, Z: 0.10
2025-03-16 16:17:11.808897, X: 0.56, Y: 0.40, Z: 0.10
2025-03-16 16:17:11.875535, X: 0.56, Y: 0.40, Z: 0.10
2025-03-16 16:17:11.933842, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.001066, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.057435, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.121881, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.183094, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.243659, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.311671, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.371327, X: 0.55, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.433669, X: 0.54, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.495546, X: 0.54, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.563154, X: 0.54, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.621468, X: 0.54, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.680252, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:12.746036, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:12.808100, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:12.872853, X: 0.54, Y: 0.40, Z: 0.10
2025-03-16 16:17:12.926615, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:12.992456, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:13.056897, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:13.115407, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.179126, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.238856, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.298631, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.362344, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.427159, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.488821, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.548811, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.610636, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.673512, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:13.734555, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:13.801734, X: 0.54, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.858234, X: 0.54, Y: 0.40, Z: 0.09
2025-03-16 16:17:13.922504, X: 0.55, Y: 0.40, Z: 0.08
2025-03-16 16:17:13.988280, X: 0.55, Y: 0.40, Z: 0.08
2025-03-16 16:17:14.047410, X: 0.55, Y: 0.40, Z: 0.09
2025-03-16 16:17:14.111785, X: 0.55, Y: 0.40, Z: 0.09
